Please note that renewal prices are estimates based on current renewal rates.
DOMAIN,TLD,CREATE DATE,EXPIRE DATE,LOCKED,PRIVACY,AUTO RENEW,NAMESERVERS,AUTH CODE,AUTH CODE CHANGED,EST. RENEWAL PRICE,STATUSES,URL FORWARDS
tequitl.agency,agency,"2025-12-06 22:23:10","2026-12-06 22:23:10",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,25.23,"clientDeleteProhibited,clientTransferProhibited"
spacemang.com,com,"2011-12-25 07:11:35","2026-12-25 07:11:35",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
spacemang.org,org,"2011-12-25 07:11:52","2026-12-25 07:11:52",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,10.74,"clientDeleteProhibited,clientTransferProhibited"
amalgamedon.com,com,"2026-01-04 22:25:52","2027-01-04 22:25:52",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
amalgamedon.dev,dev,"2026-01-04 22:25:52","2027-01-04 22:25:52",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,12.87,"clientDeleteProhibited,clientTransferProhibited"
amalgamedon.org,org,"2026-01-04 22:25:53","2027-01-04 22:25:53",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,10.74,"clientDeleteProhibited,clientTransferProhibited"
pborenstein.com,com,"2009-01-12 05:01:02","2027-01-12 05:01:02",yes,yes,yes,dns1.p01.nsone.net|dns2.p01.nsone.net|dns3.p01.nsone.net|dns4.p01.nsone.net,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
amalgamated.cloud,cloud,"2026-01-21 00:28:56","2027-01-21 00:28:56",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,21.11,"clientTransferProhibited,clientDeleteProhibited"
mimeo.lol,lol,"2026-02-11 07:26:54","2027-02-11 23:59:59",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,26.26,"serverTransferProhibited,clientTransferProhibited,clientDeleteProhibited"
documentation.rodeo,rodeo,"2024-03-05 00:48:55","2027-03-05 00:48:55",yes,yes,yes,valentin.ns.cloudflare.com|abby.ns.cloudflare.com,N/A,NO,8.75,"clientDeleteProhibited,clientTransferProhibited"
pepito.lol,lol,"2024-03-18 15:20:11","2027-03-18 23:59:59",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,26.26,"clientTransferProhibited,clientDeleteProhibited"
documentationrodeo.com,com,"2024-03-21 12:46:10","2027-03-21 12:46:10",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
documentationrodeo.org,org,"2024-03-21 12:46:10","2027-03-21 12:46:10",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,10.74,"clientDeleteProhibited,clientTransferProhibited"
plywoodviolin.com,com,"2021-03-31 05:27:28","2027-03-31 05:27:28",yes,yes,yes,dns1.p01.nsone.net|dns2.p01.nsone.net|dns3.p01.nsone.net|dns4.p01.nsone.net,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
idiosynthesis.com,com,"2025-08-31 20:48:44","2027-08-31 20:48:44",yes,yes,yes,maceio.ns.porkbun.com|salvador.ns.porkbun.com|fortaleza.ns.porkbun.com|curitiba.ns.porkbun.com,N/A,NO,11.08,"clientDeleteProhibited,clientTransferProhibited"
idiosynthesis.org,org,"2025-08-31 20:48:45","2027-08-31 20:48:45",yes,yes,yes,curitiba.ns.porkbun.com|fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,10.74,"clientDeleteProhibited,clientTransferProhibited"
rainbow.rodeo,rodeo,"2024-03-06 00:20:06","2030-03-06 00:20:06",yes,yes,no,fortaleza.ns.porkbun.com|maceio.ns.porkbun.com|curitiba.ns.porkbun.com|salvador.ns.porkbun.com,N/A,NO,9.26,"clientTransferProhibited,clientDeleteProhibited"
